,0
1461,123072.21001099944
1462,154171.88826878803
1463,176272.23130601837
1464,193615.612475261
1465,196731.8719879029
1466,172742.7949738196
1467,184255.5401040392
1468,164837.0898522331
1469,191910.01093817042
1470,123409.8443776761
1471,197950.41270102435
1472,103777.52730446788
1473,99549.07082443165
1474,148927.47010038764
1475,122240.48975396194
1476,359662.61428790947
1477,251198.05281531173
1478,283829.2537584367
1479,275375.2236507591
1480,504819.527530395
1481,316595.4724895509
1482,206247.71954137555
1483,174131.95182006923
1484,166297.58051551587
1485,185252.32035887893
1486,199195.2278693861
1487,319402.1371642044
1488,240347.0684767658
1489,192959.05122184556
1490,224652.85945583848
1491,192903.41294424524
1492,94285.73454597549
1493,176106.26703000083
1494,273846.62354418874
1495,286178.11648252635
1496,224652.4844949097
1497,181845.38217089008
1498,162811.78729259473
1499,161171.3081986866
1500,152724.14572804526
1501,168364.43068690377
1502,156777.01198496937
1503,272330.8478268103
1504,239255.58989995034
1505,221852.88975111712
1506,187817.660270067
1507,249793.50855101715
1508,195870.70437939072
1509,157689.01460932207
1510,142294.97628012244
1511,148395.6238711687
1512,175631.21758737759
1513,140764.87695883348
1514,151428.16046239066
1515,196846.5193558165
1516,146434.75353176286
1517,167729.1174456546
1518,135037.0904799066
1519,217013.31935261947
1520,128346.94924330534
1521,131005.52405024122
1522,177551.641487089
1523,110520.82994764157
1524,124161.8965229537
1525,120223.59975864885
1526,111496.4305215144
1527,107815.37779694272
1528,141677.60650003815
1529,145178.82316074247
1530,186546.35790039605
1531,110534.49919151401
1532,96991.28836628873
1533,144679.73908909742
1534,131736.7991184669
1535,140103.16806987292
1536,105882.16229830509
1537,71159.86922246341
1538,149238.68149533315
1539,198150.15002335122
1540,104562.90473079655
1541,140729.31240043868
1542,133232.32473290118
1543,178987.4477636449
1544,85395.43797152968
1545,115727.66363986356
1546,133642.64699915634
1547,122226.18515631238
1548,130694.55916670227
1549,121780.59087565998
1550,128420.3434582288
1551,112795.0895948325
1552,129687.97840436046
1553,141172.7320384016
1554,124239.36691770151
1555,160242.84341070722
1556,96404.95596990043
1557,108135.79061504478
1558,112714.29870300391
1559,66763.0141780851
1560,132939.76649074888
1561,126054.10191196864
1562,131231.407874265
1563,121581.97605983929
1564,164844.94549979735
1565,146878.11915622506
1566,244091.59165458594
1567,85889.6123210024
1568,233593.05868228697
1569,124301.99973946791
1570,139034.7443538986
1571,122065.40128038879
1572,144471.39807638305
1573,227789.3214812295
1574,124821.35514297106
1575,225559.50156797474
1576,243901.58927138185
1577,179815.54271865735
1578,149577.3990510826
1579,146286.13930098884
1580,193252.4158604737
1581,146457.53032652067
1582,129381.81929769795
1583,306397.87895755755
1584,224569.84596772227
1585,142146.5607070468
1586,73224.10804887845
1587,106323.85472225264
1588,143155.29531263746
1589,104470.84920464156
1590,141258.55275464055
1591,96263.60890232351
1592,115655.93511527435
1593,125260.36830468215
1594,126045.668999949
1595,111831.09928220918
1596,230048.82234498142
1597,181782.1718473984
1598,214752.89521899226
1599,175473.83906154474
1600,167155.9998388358
1601,69317.43317429342
1602,120185.15053443381
1603,72756.16461947371
1604,252510.32272170897
1605,249732.5981152546
1606,172950.7360198143
1607,179009.03528601895
1608,210642.55770144577
1609,185457.17979874756
1610,148288.10833440963
1611,140035.2412296057
1612,171566.76592026875
1613,166016.84086326626
1614,119151.99183542047
1615,90383.06866324093
1616,83191.27866979474
1617,94733.1679469672
1618,125958.89378992893
1619,140363.34725186785
1620,167607.21420433692
1621,142473.28931861505
1622,140269.07368524233
1623,266167.6479068672
1624,213662.38973525324
1625,125454.55759650018
1626,173732.57878979534
1627,189436.31013461875
1628,273554.1216317189
1629,177856.0006617639
1630,355477.55877890496
1631,223477.22537422724
1632,235485.43747507862
1633,173588.26874246733
1634,186132.3551469056
1635,177294.17358713024
1636,158343.62542333518
1637,191693.43170039667
1638,187686.02949518108
1639,185008.2975620347
1640,250185.6488949539
1641,182606.67399089987
1642,231107.28160577666
1643,220662.66845470128
1644,227354.13681365384
1645,209153.36071514426
1646,164248.68352575722
1647,165813.48697004764
1648,130509.26319220927
1649,137093.0268961244
1650,119204.5822278537
1651,124984.67646348347
1652,105431.56436078745
1653,107570.12743348541
1654,149255.16251505807
1655,142316.825362013
1656,141908.1228367229
1657,148876.98322972655
1658,150756.14278021725
1659,128396.69670587273
1660,154782.0470484757
1661,452115.0456354017
1662,401456.9315317941
1663,373952.6798354397
1664,539452.807279478
1665,306480.8662789741
1666,327793.7169478489
1667,350397.00578070775
1668,335385.78119658603
1669,301686.77028945915
1670,345692.20317048795
1671,259682.52584775884
1672,437766.04131984425
1673,290910.37136933836
1674,250756.45842631813
1675,192459.15271416676
1676,191174.3103689272
1677,212028.68253789004
1678,488711.92584798165
1679,365791.0283083439
1680,322044.57503591955
1681,245659.2676987529
1682,295619.4267241417
1683,192879.06078630907
1684,180161.54289809667
1685,175885.09045823658
1686,174436.7223282856
1687,176574.66967525944
1688,194988.93307133752
1689,196536.06007867126
1690,197867.10843539267
1691,189387.954180606
1692,258969.26019653323
1693,167890.14850271938
1694,179702.09663149595
1695,168819.22253846677
1696,270649.21775799204
1697,173451.7365696807
1698,343823.8955282617
1699,296669.8390463023
1700,241526.73026814222
1701,259501.58302292594
1702,239529.42271694244
1703,239652.0172190006
1704,277294.4729837585
1705,227732.22056782144
1706,215278.21534307845
1707,207467.62476413537
1708,195723.86353708216
1709,264116.1976614517
1710,214869.11060227995
1711,262323.15175510175
1712,250741.5508361977
1713,263080.0162080965
1714,216992.22211617796
1715,202883.1842681356
1716,182929.21972372461
1717,177400.01777433534
1718,138320.06318560636
1719,199386.2080229052
1720,233412.13564806356
1721,166149.46872320533
1722,123833.86447950474
1723,153430.59280900404
1724,211024.58129918794
1725,231669.1907779609
1726,184513.41558578567
1727,157235.01088571298
1728,177613.58505615522
1729,163066.21199258522
1730,161912.0171519542
1731,122150.26552457798
1732,128531.10741780254
1733,117854.3748513343
1734,117074.48924755745
1735,132432.68287021708
1736,111432.58614712759
1737,325625.8322972569
1738,232171.88692806126
1739,258337.53595381908
1740,207256.4976106003
1741,184611.9414337766
1742,167074.37997365772
1743,176334.57139586244
1744,305197.4408858761
1745,211194.18434226344
1746,210435.85844801867
1747,215937.06524587076
1748,222467.43811246727
1749,148289.52436999214
1750,135550.24024830209
1751,248671.97555299627
1752,121118.96025249027
1753,146567.7805482792
1754,200774.0203236463
1755,166961.95983487545
1756,126441.64543372976
1757,119372.59174898083
1758,144671.08008888626
1759,158001.8352504156
1760,163284.99028735427
1761,152845.72906237427
1762,171708.49251391168
1763,174530.21420150186
1764,116335.3948695134
1765,123584.56722566324
1766,191556.101852233
1767,229055.56870412832
1768,139475.81172133645
1769,173319.31660686052
1770,151911.97927322783
1771,123710.74567810295
1772,133214.28995459873
1773,117789.29883899038
1774,147811.1066797484
1775,138408.55376116832
1776,124150.22280300898
1777,110020.46217100459
1778,141618.5194291665
1779,115455.67494451106
1780,171687.45243335163
1781,126066.13629088519
1782,93645.53230691372
1783,145520.15418609197
1784,111229.75935846692
1785,117799.2736465679
1786,148903.15633367686
1787,170794.16644204635
1788,70054.6580542535
1789,105546.47343113302
1790,81931.82419959683
1791,190023.53924513224
1792,158236.20064436476
1793,142422.24738087528
1794,161422.9559104381
1795,133840.58399643947
1796,130610.78630502087
1797,126886.49779365587
1798,123655.23162900933
1799,113932.87162566441
1800,126831.35779421346
1801,120542.16426862759
1802,140811.80252655843
1803,150990.1820619923
1804,141833.69759969247
1805,140926.2087937557
1806,132758.81723582046
1807,132572.3933491702
1808,122767.10724322255
1809,116605.03297660955
1810,133589.33835771703
1811,95470.06111785605
1812,98566.00582961908
1813,120774.366435937
1814,92372.11363783717
1815,61682.44212014056
1816,101100.79622406121
1817,112565.96326714117
1818,142635.12776322404
1819,134462.11854548755
1820,59325.284075067146
1821,119264.8755729239
1822,149319.8562214019
1823,47537.70461379039
1824,122737.96279900263
1825,132141.24739825513
1826,103002.59640146521
1827,98095.12685226448
1828,127395.27326364849
1829,127183.23560740477
1830,141416.55416838167
1831,148760.35312430718
1832,79576.6340060664
1833,140004.65142067365
1834,127604.3856494346
1835,118784.0801712949
1836,130555.1400771582
1837,93965.6120398934
1838,118245.44402755912
1839,113412.45627171035
1840,136553.535090081
1841,131541.33166185158
1842,97984.90169234449
1843,132152.79631014733
1844,141667.33825676472
1845,140128.37913560992
1846,152841.98475265858
1847,156221.12616507168
1848,63190.935996086606
1849,108082.70618786775
1850,117213.41718628672
1851,148060.67588742252
1852,126620.67359465473
1853,126378.9230909201
1854,168528.32317350767
1855,150432.5991870499
1856,221029.4016359122
1857,141700.58471609463
1858,142062.4042234407
1859,120640.22228854291
1860,155562.0752360667
1861,120069.32784749405
1862,325632.0050432946
1863,315043.3398963193
1864,315059.5875907818
1865,332765.23559128953
1866,314998.2191454353
1867,233362.52071137694
1868,284036.75814830646
1869,209269.66037348122
1870,228386.00452826268
1871,239129.32317092654
1872,175249.22126003445
1873,240441.5389933493
1874,151255.4306325284
1875,198442.0623448623
1876,194695.1637969165
1877,211300.5264126755
1878,196034.31665936255
1879,125719.14115731906
1880,136028.91292974222
1881,254024.73837450225
1882,245398.51862171988
1883,191475.1231633612
1884,204557.96370673657
1885,233752.55521426455
1886,272256.49544842506
1887,214348.75831326895
1888,275831.4949427385
1889,172318.8870499424
1890,115195.55419855918
1891,132640.6596567093
1892,103284.60999911357
1893,127260.7570971628
1894,121787.96358365106
1895,131052.34707974154
1896,127899.80783313603
1897,121730.72520593967
1898,123439.75588565372
1899,156864.90126321904
1900,162932.45786624288
1901,168510.8761562015
1902,150645.86563100404
1903,215829.50097521086
1904,139346.1016197037
1905,193350.6443114416
1906,96194.41402090956
1907,215079.81685097818
1908,118147.23361025858
1909,141618.66049831116
1910,127358.20534750276
1911,215611.09026628375
1912,333231.4419601011
1913,144426.55907375153
1914,61260.184300486806
1915,288016.55348441965
1916,67666.86824438284
1917,254285.9536670274
1918,147493.99274381058
1919,186074.13062952665
1920,161932.55905136262
1921,361912.8798345506
1922,300186.86143350834
1923,227641.74854955342
1924,218264.76768851347
1925,200093.49155085717
1926,362387.72328572243
1927,131992.0072401574
1928,157329.74440346734
1929,128844.1541434126
1930,136001.15740507844
